Member id,No of Calls,Gender (F=1/M=0),income
692,0,1,96573
705,0,0,21301
710,0,0,277731
712,0,1,453451
713,0,1,450295
717,0,1,167547
722,0,1,259860
724,0,1,255143
730,0,0,464433
733,0,0,362710
736,0,1,246381
737,0,0,12592
740,0,1,306007
741,0,1,456269
744,0,1,133001
745,0,0,168614
746,0,1,297920
749,0,1,189765
750,0,0,131135
754,0,1,256261
758,0,0,193932
760,0,1,23831
763,0,1,55689
766,0,1,46245
769,0,1,455828
780,0,0,382606
788,0,1,425108
797,0,0,168276
799,0,0,59425
807,0,0,234191
810,0,0,348114
813,0,1,185778
814,0,0,349523
815,0,0,113955
817,0,1,238446
822,0,1,93400
824,0,1,436818
829,0,1,476478
832,0,1,391920
837,0,1,120662
851,0,1,415086
852,0,0,32067
860,0,0,145940
861,0,0,306648
864,0,1,275526
873,0,0,256576
874,0,0,51504
875,0,1,268553
877,0,0,431286
883,0,1,479611
885,0,1,283573
889,0,1,129761
890,0,1,494506
892,0,0,474059
893,0,0,459792
902,0,1,396364
910,0,0,414728
911,0,1,350381
913,0,1,276326
915,0,1,135717
920,0,1,346718
921,0,0,325185
926,0,1,478643
941,0,1,287056
942,0,1,50517
945,0,1,357369
946,0,1,235535
951,0,1,303776
954,0,1,182635
959,0,1,123515
960,0,0,290574
964,0,0,62287
965,0,0,258710
974,0,1,298928
975,0,0,10333
976,0,1,210818
978,0,0,216394
985,0,1,99487
986,0,0,415349
991,0,1,258398
992,0,1,142447
993,0,1,161105
994,0,0,285831
1000,0,1,100840
1008,0,0,485542
1017,0,1,265654
1025,0,0,174286
1026,0,1,142002
1027,0,1,470248
1029,0,1,346660
1030,0,0,452856
1044,0,1,154317
1048,0,1,180102
1050,0,0,222690
1056,0,0,366221
1057,0,0,66935
1059,0,1,257962
1061,0,0,290770
1063,0,0,89328
1066,0,1,474179
1070,0,0,208888
1076,0,1,403993
1078,0,0,215489
1081,0,1,200520
1082,0,1,34094
1085,0,1,239786
1088,0,1,353346
1090,0,0,354661
1099,0,0,230624
1100,0,1,124533
1101,0,0,443490
1114,0,0,298892
1117,0,0,381869
1119,0,0,223593
1120,0,1,396853
1122,0,0,497389
1123,0,1,283113
1133,0,1,340318
1134,0,0,15508
1137,0,1,287742
1139,0,0,173814
1142,0,1,406445
1145,0,1,117881
1146,0,0,62113
1148,0,0,396658
1153,0,1,375469
1160,0,0,400539
1163,0,0,304053
1165,0,1,200163
1167,0,1,400718
1177,0,0,183797
1180,0,0,419395
1182,0,0,123994
1191,0,1,168562
1192,0,0,104191
1194,0,0,453574
1196,0,1,174752
1197,0,0,180886
1205,0,1,333280
1207,0,0,342543
1210,0,1,212706
1215,0,0,89835
1216,0,0,233001
1220,0,1,260381
1224,0,0,277277
1235,0,1,223169
1237,0,1,310747
1241,0,1,453640
1243,0,0,62649
1246,0,0,483659
1247,0,1,356477
1249,0,1,216582
1250,0,1,201455
1260,0,1,424343
1263,0,0,105749
1265,0,0,163365
1268,0,1,161809
1269,0,1,471000
1273,0,0,272227
1274,0,1,387560
1276,0,1,458633
1281,0,1,20051
1282,0,0,452475
1284,0,0,478503
1287,0,0,73302
1294,0,0,153187
1296,0,0,466573
1313,0,1,238698
1315,0,1,372681
1316,0,0,292094
1317,0,1,341638
1322,0,1,93971
1325,0,0,390429
1331,0,1,241177
1332,0,0,189013
1337,0,1,97965
1338,0,1,424015
1347,0,0,62907
1361,0,0,247259
1364,0,1,317524
1369,0,0,32860
1376,0,1,496357
1387,0,0,65485
1392,0,0,146555
1397,0,1,244920
1399,0,0,208779
1400,0,1,153180
1401,0,1,39165
1402,0,0,282821
1404,0,0,174707
1408,0,1,297203
1409,0,0,496942
1412,0,1,45055
1413,0,0,167785
1415,0,0,136004
1421,0,0,46940
1422,0,1,441208
1426,0,0,460731
1427,0,0,368299
1429,0,1,34250
1438,0,0,207049
1439,0,1,437843
1440,0,1,433516
1451,0,1,167572
1452,0,1,278657
1453,0,0,182054
1458,0,0,42464
1464,0,1,86799
1466,0,0,309448
1474,0,0,39446
1476,0,1,149350
1479,0,1,87981
1481,0,0,36714
1487,0,0,219538
1491,0,1,399760
1492,0,0,254124
1498,0,1,361718
1499,0,1,442957
1502,0,0,364893
1510,0,1,494228
1513,0,0,281434
1516,0,0,11684
1518,0,1,87050
1519,0,1,315522
1525,0,0,251138
1529,0,0,273060
1531,0,1,390782
1535,0,1,344214
1541,0,1,24766
1544,0,0,458603
1547,0,0,436720
1550,0,1,120347
1552,0,0,336834
1554,0,0,111429
1555,0,1,464776
1558,0,0,274086
1565,0,0,484640
1573,0,1,479831
1574,0,1,222761
1578,0,0,218237
1580,0,0,375271
1585,0,0,213482
1588,0,1,356580
1593,0,0,99415
1594,0,1,315932
1595,0,0,146446
1604,0,1,445151
1616,0,0,404465
1617,0,0,111362
1618,0,1,140210
1620,0,0,180645
1628,0,0,255603
1633,0,1,361871
1637,0,0,461562
1638,0,0,162353
1644,0,1,499390
1645,0,1,372939
1649,0,0,375164
1656,0,0,81532
1657,0,0,215022
1659,0,0,364529
1661,0,0,483848
1666,0,0,97269
1671,0,0,71585
1676,0,0,216555
1678,0,1,470452
1683,0,0,36347
1684,0,0,195494
1685,0,1,475651
1694,0,0,218503
1698,0,0,244926
1699,0,0,120027
1702,0,1,175778
1703,0,1,162902
1708,0,0,68501
1710,0,1,72216
1712,0,0,103505
1713,0,0,248402
1728,0,0,147016
1734,0,1,407222
1737,0,0,445234
1738,0,1,241309
1739,0,1,16564
1747,0,0,342783
1748,0,1,330575
1750,0,0,63298
1754,0,0,415006
1763,0,0,273025
1765,0,0,235792
1772,0,0,237439
1781,0,1,250075
1782,0,0,295615
1793,0,1,491811
1797,0,1,379352
1801,0,1,253660
1815,0,1,175485
1817,0,1,339920
1822,0,0,396253
1823,0,0,153584
1824,0,1,27773
1830,0,0,379573
1833,0,1,133351
1836,0,1,150874
1840,0,1,221266
1842,0,1,392303
1847,0,1,75226
1850,0,0,304392
1861,0,0,207845
1862,0,0,348624
1865,0,0,346609
1875,0,1,56404
1876,0,0,274731
1882,0,1,426572
1883,0,0,86250
1886,0,0,479210
1890,0,1,451423
1893,0,1,146257
1894,0,0,339452
1900,0,0,204223
1902,0,1,116798
1909,0,1,314261
1910,0,1,244959
1911,0,0,346522
1914,0,1,307697
1916,0,0,437208
1920,0,0,156444
1927,0,0,66129
1937,0,1,438072
1940,0,0,170435
1949,0,0,317246
1954,0,1,95027
1955,0,0,257765
1956,0,1,306749
1962,0,1,428708
1963,0,0,56941
1967,0,1,184643
1968,0,0,451423
1972,0,1,12597
1983,0,0,323372
1989,0,0,33797
1991,0,0,381143
1992,0,1,407498
1993,0,0,224575
1999,0,0,433748
2004,0,0,469677
2007,0,0,84247
2013,0,0,259805
2020,0,1,494478
2021,0,0,73560
2023,0,0,476173
2024,0,1,497134
2025,0,0,47991
2033,0,0,317107
2035,0,1,432207
2037,0,1,416625
2038,0,1,321815
2039,0,1,308588
2041,0,0,441444
2042,0,1,381680
2044,0,0,242518
2045,0,1,53370
2047,0,0,415279
2048,0,1,378846
2050,0,1,63269
2051,0,0,239463
2052,0,1,268405
2056,0,1,326621
2063,0,0,32682
2069,0,0,93420
2072,0,0,175384
2074,0,0,439024
2075,0,1,224815
2082,0,0,149729
2083,0,0,307657
2086,0,0,327215
2087,0,1,495261
2088,0,0,201132
2091,0,0,409157
2094,0,0,98350
2100,0,0,279818
2102,0,0,491391
2104,0,0,177344
2105,0,1,59707
2111,0,0,363309
2126,0,1,279838
2127,0,1,408641
2137,0,1,220496
2139,0,0,347170
2142,0,1,74826
2152,0,0,441366
2157,0,1,454633
2158,0,1,264250
2159,0,0,412134
2165,0,1,392102
2169,0,1,235800
2172,0,0,423150
2174,0,1,235458
2180,0,1,414026
2183,0,1,297439
2193,0,0,298387
2194,0,0,146910
2196,0,1,436529
2201,0,1,399593
2206,0,0,457821
2211,0,0,387340
2214,0,0,41263
2221,0,1,401087
2224,0,1,377079
2228,0,0,488140
2230,0,0,453387
2231,0,0,424725
2232,0,1,209582
2239,0,0,201505
2251,0,0,183643
2252,0,0,335077
2258,0,1,207612
2260,0,0,147569
2270,0,1,216220
2271,0,0,189062
2277,0,1,257106
2286,0,1,236841
2290,0,1,312783
2292,0,1,342202
2297,0,1,255538
2304,0,0,434016
2309,0,0,387977
2311,0,0,309159
2313,0,1,155185
2315,0,1,165574
2327,0,1,316859
2330,0,1,492871
2338,0,1,85457
2341,0,0,499944
2342,0,0,464459
2343,0,0,213218
2352,0,0,464736
2355,0,1,376451
2362,0,1,457183
2364,0,0,238851
2365,0,1,113496
2367,0,0,331367
2372,0,1,471455
2375,0,1,214251
2376,0,1,43049
2377,0,0,330944
2379,0,1,90535
2380,0,1,82271
2383,0,0,105581
2384,0,1,456981
2385,0,1,381004
2389,0,1,290026
2395,0,1,84353
2402,0,1,18471
2403,0,1,431835
2405,0,0,125003
2408,0,1,43689
2411,0,0,133849
2412,0,0,53723
2417,0,1,125163
2418,0,1,471048
2419,0,0,333258
2421,0,1,252980
2422,0,0,98430
2424,0,0,197623
2427,0,0,420976
2428,0,0,95097
2429,0,1,200100
2431,0,0,350659
2436,0,1,213768
2437,0,1,244317
2438,0,0,62869
2440,0,1,252692
2441,0,0,208586
2442,0,1,230022
2446,0,1,466213
2447,0,0,391773
2454,0,0,133815
2456,0,0,225673
2459,0,0,171428
2460,0,1,208335
2463,0,0,201302
2465,0,0,82562
2466,0,1,242593
2467,0,0,437842
2469,0,0,474889
2470,0,0,296518
2475,0,0,302851
2477,0,0,367550
2481,0,1,491299
2482,0,0,172272
2483,0,0,254586
2488,0,1,11419
2493,0,0,374959
2495,0,0,63155
2497,0,0,174212
2502,0,1,291747
2504,0,1,249862
2505,0,0,54959
2506,0,0,62017
2510,0,1,147253
2514,0,0,356626
2517,0,1,163335
2523,0,1,207308
2542,0,1,493204
2546,0,0,275147
2552,0,1,446823
2555,0,0,105984
2557,0,1,297706
2565,0,0,30335
2567,0,0,70159
2572,0,0,29891
2573,0,1,261499
2575,0,0,268766
2578,0,0,85224
2582,0,1,482916
2589,0,0,156575
2597,0,1,54756
2600,0,1,414731
2603,0,1,499332
2604,0,1,48837
2611,0,0,41466
2613,0,1,284295
2617,0,0,196863
2623,0,0,376916
2627,0,0,269446
2634,0,0,362186
2638,0,0,58767
2642,0,0,72756
2647,0,1,300954
2651,0,1,119658
2652,0,1,430928
2654,0,1,382356
2655,0,1,235996
2658,0,1,365323
2660,0,1,288730
2665,0,1,318475
2668,0,1,440828
2669,0,0,261710
2674,0,0,206807
2676,0,1,191286
2679,0,1,499878
2682,0,0,56882
2691,0,0,477012
2692,0,1,497723
2699,0,0,339016
2701,0,1,25523
2706,0,1,422758
2707,0,0,313615
2708,0,0,107763
2712,0,0,312491
2715,0,0,209038
2716,0,0,383956
2719,0,1,41975
2722,0,1,84734
2724,0,0,158734
2727,0,0,297887
2730,0,0,262042
2734,0,0,202224
2735,0,0,43711
2739,0,1,470700
2746,0,0,385576
2757,0,1,72962
2761,0,0,356737
2762,0,1,298130
2764,0,0,41770
2776,0,0,407033
2778,0,0,158806
2784,0,0,251526
2788,0,1,242305
2798,0,0,475880
2806,0,1,248224
2810,0,0,252878
2815,0,1,262160
2816,0,0,182561
2833,0,1,280536
2854,0,0,426274
2855,0,1,168552
2857,0,1,373906
2858,0,1,298731
2860,0,1,203048
2867,0,0,101757
2872,0,0,407661
2880,0,0,444614
2881,0,1,91655
2886,0,0,414104
2887,0,1,334271
2893,0,1,351830
2894,0,0,190978
2896,0,0,158047
2904,0,1,65663
2906,0,0,349835
2914,0,0,170441
2915,0,1,193949
2916,0,0,427614
2918,0,1,378109
2920,0,1,420815
2926,0,0,96023
2927,0,1,427819
2928,0,1,416173
2941,0,1,13991
2952,0,1,472679
2961,0,1,63461
2965,0,1,485995
2966,0,0,373187
2968,0,0,18118
2971,0,0,407485
2977,0,0,19339
2979,0,1,319314
2984,0,1,196379
2987,0,0,360145
2989,0,1,215581
2995,0,0,498210
2996,0,0,141116
2997,0,1,274860
3001,0,0,262285
3003,0,0,417001
3025,0,1,75143
3027,0,1,322248
3028,0,0,105605
3035,0,1,358812
3041,0,0,386215
3042,0,0,166345
3043,0,1,425939
3044,0,0,58171
3045,0,1,184595
3046,0,0,201588
3051,0,1,485340
3052,0,1,479833
3054,0,1,386453
3055,0,1,283017
3059,0,0,157289
3063,0,1,250713
3066,0,1,80728
3069,0,1,58632
3070,0,1,96245
3072,0,0,461556
3074,0,0,373905
3076,0,0,37545
3078,0,1,265533
3083,0,1,207503
3094,0,1,116387
3100,0,1,458403
3105,0,1,446320
3108,0,1,71360
3109,0,1,58964
3110,0,1,99543
3111,0,1,163032
3112,0,0,479870
3114,0,0,125726
3126,0,0,341226
3127,0,0,478255
3133,0,0,366098
3135,0,1,288582
3137,0,1,270029
3142,0,0,147428
3144,0,1,287050
3147,0,0,427620
3153,0,0,102051
3154,0,0,304978
3160,0,1,408476
3161,0,0,49763
3164,0,1,324079
3169,0,1,123320
3172,0,0,121395
3175,0,1,333987
3177,0,1,318051
3178,0,0,471208
3180,0,0,334889
3182,0,1,422552
3184,0,0,16412
3185,0,0,181066
3188,0,1,322324
3190,0,0,290007
3191,0,0,111661
3192,0,1,301034
3196,0,0,298792
3197,0,0,27875
3200,0,1,132791
3203,0,1,259969
3206,0,1,193342
3212,0,0,165317
3217,0,0,128672
3227,0,0,45975
3230,0,1,219399
3231,0,0,42096
3236,0,1,235367
3238,0,0,449987
3242,0,1,59904
3251,0,1,174689
3252,0,1,146498
3254,0,1,167563
3265,0,0,352809
3266,0,1,199972
3271,0,0,252920
3274,0,1,203112
3278,0,1,285250
3279,0,0,274327
3281,0,1,403201
3282,0,1,426572
3285,0,1,430673
3288,0,1,390426
3290,0,0,13412
3291,0,0,311627
3293,0,1,411229
3296,0,1,127397
3297,0,0,202869
3298,0,1,366685
3299,0,0,262693
3302,0,1,141956
3305,0,0,242266
3308,0,0,468519
3309,0,0,353617
3311,0,1,388235
3312,0,0,49497
3315,0,0,143437
3327,0,0,174374
3328,0,1,338572
3330,0,1,22918
3334,0,1,370005
3336,0,1,84090
3338,0,0,428374
3343,0,0,323497
3344,0,0,456195
3345,0,0,433273
3346,0,0,125337
3348,0,1,232636
3353,0,1,396246
3354,0,1,260617
3356,0,0,238672
3358,0,0,491172
3359,0,0,223399
3365,0,0,54543
3366,0,0,457631
3368,0,0,139936
3369,0,0,260803
3374,0,0,110793
3376,0,1,379638
3397,0,0,205830
3399,0,1,88583
3407,0,1,55706
3415,0,0,456215
3417,0,1,182887
3421,0,0,58187
3423,0,0,180649
3425,0,0,453489
3431,0,1,175492
3432,0,0,192189
3441,0,0,479590
3446,0,1,478031
3447,0,0,242388
3449,0,0,86832
3451,0,1,239331
3454,0,0,41555
3455,0,1,292293
3457,0,1,293780
3468,0,0,11304
3471,0,0,49994
3473,0,1,345641
3478,0,1,183776
3479,0,1,332116
3482,0,0,86452
3483,0,0,227239
3485,0,0,224654
3487,0,1,453444
3488,0,0,435352
3490,0,1,495708
3491,0,1,205151
3493,0,0,466201
3494,0,1,393537
3496,0,0,221678
3497,0,0,43335
3500,0,1,264689
3504,0,1,162182
3509,0,1,374934
3513,0,1,432472
3516,0,0,440580
3517,0,1,306397
3520,0,1,93773
3524,0,0,431302
3528,0,0,339406
3532,0,0,152889
3535,0,0,410750
3536,0,1,41911
3537,0,0,68559
3539,0,1,166776
3548,0,0,17449
3551,0,1,221854
3554,0,1,169011
3556,0,1,495233
3558,0,1,161038
3559,0,1,30126
3560,0,0,315742
3562,0,0,153643
3567,0,0,342639
3569,0,1,182824
3571,0,0,268072
3575,0,0,197697
3577,0,1,343412
3581,0,0,133781
3583,0,0,67513
3591,0,0,404164
3600,0,0,461750
3602,0,0,156734
3604,0,0,431978
3605,0,0,175657
3607,0,0,297418
3609,0,1,473287
3614,0,0,456783
3615,0,1,426597
3619,0,0,416209
3622,0,1,422733
3628,0,1,343335
3629,0,1,332529
3630,0,1,317738
3632,0,0,111688
3633,0,1,15448
3638,0,0,117874
3641,0,0,142148
3643,0,0,111560
3645,0,1,107602
3650,0,0,202150
3660,0,1,129862
3661,0,1,130667
3666,0,0,148003
3667,0,1,418629
3668,0,1,408140
3672,0,1,416032
3673,0,1,367890
3680,0,1,69210
3683,0,0,272599
3686,0,0,380653
3688,0,1,295070
3691,0,0,335723
3700,0,1,293532
3701,0,0,488996
3711,0,0,437852
3712,0,0,102640
3715,0,1,305661
3725,0,1,61689
3734,0,0,355979
3738,0,0,481310
3739,0,0,335216
3740,0,1,419983
3741,0,0,51491
3742,0,0,277731
3744,0,1,340217
3747,0,1,152986
3749,0,0,376526
3750,0,1,442549
3753,0,0,145159
3755,0,1,84233
3759,0,1,128833
3763,0,1,157486
3765,0,1,180273
3768,0,1,439397
3776,0,1,291687
3777,0,1,389102
3782,0,1,292133
3787,0,1,224476
3792,0,0,102250
3793,0,0,33550
3794,0,1,244927
3795,0,0,234549
3799,0,1,138516
3800,0,0,491549
3802,0,1,336880
3804,0,1,474469
3805,0,1,40044
3806,0,1,168049
3809,0,0,344721
3811,0,0,392799
3814,0,0,324121
3816,0,1,297175
3818,0,1,200377
3823,0,0,248229
3826,0,1,81098
3827,0,1,202931
3828,0,1,458273
3833,0,0,384998
3839,0,1,266880
3841,0,1,203047
3850,0,1,320447
3851,0,1,46388
3854,0,1,124358
3855,0,0,19427
3856,0,1,136537
3858,0,1,62079
3862,0,1,285408
3863,0,1,13121
3865,0,1,360640
3869,0,0,294473
3875,0,1,295327
3876,0,1,258355
3877,0,0,457420
3879,0,0,397317
3880,0,0,253928
3881,0,0,195723
3883,0,1,33785
3884,0,0,71681
3891,0,1,238812
3892,0,0,32324
3893,0,0,277391
3896,0,1,318846
3899,0,0,434499
3900,0,0,137797
3905,0,0,296335
3908,0,1,402416
3915,0,0,179518
3917,0,0,184946
3918,0,0,33166
3919,0,1,170610
3921,0,1,498753
3928,0,1,435021
3932,0,1,354549
3934,0,0,76547
3937,0,1,59037
3939,0,0,136741
3940,0,0,395724
3941,0,0,274350
3942,0,1,338641
3944,0,0,155840
3946,0,1,101114
3947,0,1,205100
3950,0,1,321886
3952,0,1,462490
3956,0,0,408514
3958,0,0,439719
3961,0,1,330672
3965,0,0,286834
3972,0,0,321849
3978,0,0,293321
3980,0,1,23795
3982,0,0,274973
3983,0,1,302469
3985,0,0,31243
3988,0,1,322504
3990,0,1,64472
4002,0,1,182364
4007,0,0,173521
4010,0,1,484582
4019,0,0,270208
4020,0,0,77600
4023,0,1,356931
4026,0,1,360610
4027,0,0,290935
4028,0,0,215699
4029,0,1,131284
4036,0,1,437440
4037,0,0,274712
4040,0,1,290688
4044,0,0,399615
4057,0,0,472892
4058,0,0,159020
4060,0,0,199966
4065,0,1,326294
4072,0,0,192747
4073,0,1,411166
4088,0,0,75563
4089,0,0,131988
4090,0,1,19003
4091,0,1,160982
4092,0,1,295509
4093,0,0,456277
4100,0,0,189536
4101,0,1,113690
4105,0,0,42525
4113,0,1,356247
4115,0,1,291007
4116,0,1,241835
4120,0,0,24956
4125,0,1,103334
4126,0,1,74916
4128,0,1,491060
4130,0,1,28338
4134,0,1,327433
4139,0,1,114117
4154,0,1,370242
4155,0,1,155338
4156,0,0,331230
4169,0,1,361099
4170,0,0,394575
4180,0,0,61680
4187,0,0,454862
4190,0,0,23039
4191,0,1,348410
4192,0,1,224703
4198,0,1,325754
4200,0,0,33310
4201,0,1,485440
4202,0,0,47913
4208,0,0,243215
4210,0,0,424281
4212,0,1,343693
4213,0,0,269255
4214,0,1,370903
4217,0,1,346197
4219,0,1,43173
4221,0,0,28525
4225,0,1,326402
4227,0,1,70426
4230,0,0,478117
4231,0,0,71849
4237,0,0,487657
4238,0,1,188779
4241,0,0,201968
4245,0,0,376440
4250,0,1,238146
4252,0,0,476586
4255,0,1,197490
4257,0,0,338068
4259,0,0,167487
4261,0,1,206448
4263,0,1,472838
4267,0,1,388287
4270,0,1,394917
4272,0,1,248963
4275,0,0,369092
4276,0,1,122120
4280,0,0,137295
4288,0,1,225038
4302,0,0,262663
4303,0,0,332694
4309,0,1,374361
4310,0,0,25880
4312,0,0,304723
4313,0,0,283805
4321,0,0,233229
4324,0,0,491224
4332,0,0,55389
4337,0,0,421813
4340,0,0,469844
4342,0,1,55011
4346,0,1,268579
4349,0,0,372112
4351,0,1,484467
4352,0,0,147071
4353,0,0,432257
4354,0,0,109375
4356,0,1,10682
4364,0,1,285080
4366,0,0,348267
4373,0,1,67905
4374,0,0,144280
4378,0,0,150393
4388,0,0,311450
4396,0,1,475771
4397,0,1,176794
4400,0,1,450932
4404,0,0,310485
4409,0,0,167843
4413,0,0,361539
4414,0,1,374849
4416,0,0,110472
4421,0,0,396281
4424,0,1,46491
4426,0,1,331279
4428,0,1,160434
4429,0,1,235230
4431,0,1,25242
4432,0,1,112718
4446,0,0,406998
4447,0,1,123471
4452,0,1,141285
4454,0,0,415850
4461,0,1,371356
4464,0,0,373205
4465,0,1,30765
4467,0,0,352519
4470,0,0,367417
4471,0,0,162013
4472,0,1,498839
4475,0,0,67352
4482,0,0,132750
4483,0,0,400441
4487,0,0,263012
4491,0,0,469165
4493,0,1,404761
4497,0,0,115625
4498,0,1,432772
4500,0,1,484486
4502,0,1,227445
4505,0,0,148885
4512,0,0,318669
4513,0,1,166624
4519,0,0,192905
4520,0,1,334331
4522,0,0,319392
4526,0,0,19735
4527,0,0,457381
4528,0,1,237221
4529,0,1,279016
4535,0,1,117538
4537,0,1,78048
4540,0,1,293341
4541,0,1,325398
4544,0,0,255317
4549,0,0,132513
4551,0,1,107159
4564,0,1,261972
4569,0,1,72459
4571,0,1,207211
4577,0,0,138238
4578,0,1,84027
4580,0,0,309865
4584,0,0,265013
4588,0,1,26074
4589,0,0,116649
4591,0,1,402255
4597,0,1,224727
4599,0,1,354288
4602,0,1,104740
4604,0,1,236086
4610,0,1,430866
4613,0,0,211198
4619,0,0,32688
4626,0,1,28772
4628,0,1,379153
4629,0,1,199235
4638,0,1,165042
4639,0,0,329461
4650,0,0,187037
4653,0,0,489773
4654,0,0,208935
4656,0,0,178392
4658,0,0,193882
4660,0,0,464193
4661,0,0,252702
4665,0,0,245402
4666,0,1,354160
4672,0,1,393805
4674,0,0,401595
4679,0,1,95578
4681,0,1,328223
4687,0,0,438122
4688,0,0,453098
4689,0,1,33737
4694,0,1,34332
4700,0,1,347993
4702,0,0,280094
4706,0,1,154279
4707,0,1,268701
4708,0,1,330977
4709,0,0,244714
4721,0,0,401962
4722,0,1,117519
4725,0,1,274063
4728,0,1,453256
4731,0,1,489249
4733,0,0,101021
4734,0,0,249497
4738,0,1,497118
4746,0,1,481678
4748,0,0,32946
4750,0,1,410566
4751,0,1,18153
4752,0,1,55666
4755,0,0,133226
4760,0,1,55258
4763,0,1,36585
4767,0,1,100407
4769,0,0,385620
4770,0,1,434443
4780,0,0,107907
4784,0,0,383012
4787,0,1,57451
4795,0,0,57130
4798,0,1,42592
4803,0,0,155439
4808,0,0,14741
4813,0,1,254030
4814,0,0,15996
4815,0,0,216620
4817,0,1,96584
4818,0,1,432270
4824,0,0,367946
4825,0,1,184119
4826,0,1,413040
4827,0,0,167339
4828,0,0,297900
4829,0,0,221089
4833,0,0,165413
4839,0,0,349411
4840,0,1,446596
4842,0,0,364320
4845,0,1,463702
4846,0,0,321627
4852,0,0,179336
4854,0,1,379017
4856,0,0,325927
4872,0,0,328420
4877,0,1,434898
4879,0,1,206276
4880,0,0,187890
4885,0,0,35065
4889,0,1,410589
4899,0,0,227408
4900,0,1,429150
4901,0,0,477984
4906,0,0,264997
4907,0,0,258287
4909,0,0,322813
4915,0,0,335299
4921,0,1,248910
4923,0,0,391162
4926,0,1,216867
4929,0,0,133795
4932,0,1,18062
4939,0,1,340551
4941,0,0,120771
4945,0,1,202097
4947,0,1,333074
4948,0,0,278233
4949,0,1,156309
4955,0,1,447001
4957,0,1,494364
4960,0,1,94520
4961,0,0,283971
4963,0,1,134838
4966,0,1,410484
4968,0,0,271827
4969,0,1,392166
4970,0,0,399873
4971,0,1,273814
